Cargo	Agrupacion	Votos
DIPUTADOS NACIONALES		40966
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	55965
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	141349
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	310036
DIPUTADOS NACIONALES	FRENTE DE TODOS	456876
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	855562
DIPUTADOS PROVINCIALES		47167
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	57815
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	149941
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	316480
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	481219
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	886439
