Cargo	Agrupacion	Votos
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	316480
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	310036
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	886439
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	855562
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	481219
DIPUTADOS NACIONALES	FRENTE DE TODOS	456876
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	149941
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	141349
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	57815
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	55965
DIPUTADOS PROVINCIALES	VOTOS EN BLANCO	47167
DIPUTADOS NACIONALES	VOTOS EN BLANCO	40966
