Cargo	Seccion	Agrupacion	Votos
DIPUTADOS NACIONALES	Comuna 15	LA LIBERTAD AVANZA	17606
DIPUTADOS NACIONALES	Comuna 14	LA LIBERTAD AVANZA	24048
DIPUTADOS NACIONALES	Comuna 13	LA LIBERTAD AVANZA	25851
DIPUTADOS NACIONALES	Comuna 12	LA LIBERTAD AVANZA	23612
DIPUTADOS NACIONALES	Comuna 11	LA LIBERTAD AVANZA	22707
DIPUTADOS NACIONALES	Comuna 10	LA LIBERTAD AVANZA	19491
DIPUTADOS NACIONALES	Comuna 09	LA LIBERTAD AVANZA	20215
DIPUTADOS NACIONALES	Comuna 08	LA LIBERTAD AVANZA	19148
DIPUTADOS NACIONALES	Comuna 07	LA LIBERTAD AVANZA	22456
DIPUTADOS NACIONALES	Comuna 06	LA LIBERTAD AVANZA	18096
DIPUTADOS NACIONALES	Comuna 05	LA LIBERTAD AVANZA	17434
DIPUTADOS NACIONALES	Comuna 04	LA LIBERTAD AVANZA	22016
DIPUTADOS NACIONALES	Comuna 03	LA LIBERTAD AVANZA	18912
DIPUTADOS NACIONALES	Comuna 02	LA LIBERTAD AVANZA	17456
DIPUTADOS NACIONALES	Comuna 01	LA LIBERTAD AVANZA	20988
DIPUTADOS NACIONALES	Comuna 15	JUNTOS POR EL CAMBIO	50857
DIPUTADOS NACIONALES	Comuna 14	JUNTOS POR EL CAMBIO	84948
DIPUTADOS NACIONALES	Comuna 13	JUNTOS POR EL CAMBIO	91894
DIPUTADOS NACIONALES	Comuna 12	JUNTOS POR EL CAMBIO	70353
DIPUTADOS NACIONALES	Comuna 11	JUNTOS POR EL CAMBIO	61306
DIPUTADOS NACIONALES	Comuna 10	JUNTOS POR EL CAMBIO	48983
DIPUTADOS NACIONALES	Comuna 09	JUNTOS POR EL CAMBIO	44436
DIPUTADOS NACIONALES	Comuna 08	JUNTOS POR EL CAMBIO	34337
DIPUTADOS NACIONALES	Comuna 07	JUNTOS POR EL CAMBIO	54849
DIPUTADOS NACIONALES	Comuna 06	JUNTOS POR EL CAMBIO	58884
DIPUTADOS NACIONALES	Comuna 05	JUNTOS POR EL CAMBIO	49134
DIPUTADOS NACIONALES	Comuna 04	JUNTOS POR EL CAMBIO	48247
DIPUTADOS NACIONALES	Comuna 03	JUNTOS POR EL CAMBIO	45453
DIPUTADOS NACIONALES	Comuna 02	JUNTOS POR EL CAMBIO	60315
DIPUTADOS NACIONALES	Comuna 01	JUNTOS POR EL CAMBIO	51566
DIPUTADOS NACIONALES	Comuna 15	FRENTE DE TODOS	33699
DIPUTADOS NACIONALES	Comuna 14	FRENTE DE TODOS	25431
DIPUTADOS NACIONALES	Comuna 13	FRENTE DE TODOS	26207
DIPUTADOS NACIONALES	Comuna 12	FRENTE DE TODOS	33471
DIPUTADOS NACIONALES	Comuna 11	FRENTE DE TODOS	30804
DIPUTADOS NACIONALES	Comuna 10	FRENTE DE TODOS	28657
DIPUTADOS NACIONALES	Comuna 09	FRENTE DE TODOS	31507
DIPUTADOS NACIONALES	Comuna 08	FRENTE DE TODOS	36320
DIPUTADOS NACIONALES	Comuna 07	FRENTE DE TODOS	34573
DIPUTADOS NACIONALES	Comuna 06	FRENTE DE TODOS	28479
DIPUTADOS NACIONALES	Comuna 05	FRENTE DE TODOS	32127
DIPUTADOS NACIONALES	Comuna 04	FRENTE DE TODOS	41489
DIPUTADOS NACIONALES	Comuna 03	FRENTE DE TODOS	29882
DIPUTADOS NACIONALES	Comuna 02	FRENTE DE TODOS	14032
DIPUTADOS NACIONALES	Comuna 01	FRENTE DE TODOS	30198
DIPUTADOS NACIONALES	Comuna 15	FRENTE DE IZQUIERDA Y DE TRABAJADORES	11745
DIPUTADOS NACIONALES	Comuna 14	FRENTE DE IZQUIERDA Y DE TRABAJADORES	9465
DIPUTADOS NACIONALES	Comuna 13	FRENTE DE IZQUIERDA Y DE TRABAJADORES	10658
DIPUTADOS NACIONALES	Comuna 12	FRENTE DE IZQUIERDA Y DE TRABAJADORES	11303
