Cargo	Agrupacion	Seccion	Votos
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 15	774
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 15	142
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 15	568
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 15	474
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 15	320
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 15	14153
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 15	50033
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 15	31770
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 15	9164
DIPUTADOS NACIONALES	FEDERAL	Comuna 15	537
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 15	199
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 15	220
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 15	4417
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 15	437
DIPUTADOS NACIONALES		Comuna 15	3970
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 14	804
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 14	77
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 14	341
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 14	433
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 14	232
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 14	17997
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 14	83432
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 14	23847
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 14	7151
DIPUTADOS NACIONALES	FEDERAL	Comuna 14	541
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 14	169
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 14	217
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 14	2675
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 14	329
DIPUTADOS NACIONALES		Comuna 14	3517
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 13	1038
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 13	106
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 13	394
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 13	434
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 13	280
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 13	19564
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 13	91091
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 13	24305
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 13	8100
DIPUTADOS NACIONALES	FEDERAL	Comuna 13	571
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 13	190
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 13	216
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 13	3247
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 13	352
DIPUTADOS NACIONALES		Comuna 13	4031
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 12	1059
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 12	147
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 12	514
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 12	539
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 12	334
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 12	18595
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 12	68277
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 12	31065
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 12	8624
DIPUTADOS NACIONALES	FEDERAL	Comuna 12	702
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 12	220
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 12	274
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 12	3882
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 12	563
DIPUTADOS NACIONALES		Comuna 12	4462
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 11	923
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 11	136
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 11	496
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 11	486
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 11	304
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 11	17935
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 11	60219
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 11	29388
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 11	7489
DIPUTADOS NACIONALES	FEDERAL	Comuna 11	666
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 11	255
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 11	239
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 11	4138
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 11	537
DIPUTADOS NACIONALES		Comuna 11	4297
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 10	823
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 10	148
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 10	426
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 10	458
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 10	296
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 10	16155
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 10	48449
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 10	27716
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 10	6977
DIPUTADOS NACIONALES	FEDERAL	Comuna 10	606
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 10	266
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 10	251
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 10	3446
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 10	549
DIPUTADOS NACIONALES		Comuna 10	3728
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 9	731
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 9	182
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 9	535
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 9	408
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 9	320
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 9	15686
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 9	44029
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 9	30361
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 9	6141
DIPUTADOS NACIONALES	FEDERAL	Comuna 9	714
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 9	287
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 9	218
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 9	2654
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 9	561
DIPUTADOS NACIONALES		Comuna 9	3568
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 8	637
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 8	222
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 8	597
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 8	616
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 8	319
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 8	14194
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 8	33708
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 8	34190
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 8	5700
DIPUTADOS NACIONALES	FEDERAL	Comuna 8	559
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	Comuna 8	362
DIPUTADOS NACIONALES	AUTONOMISTA	Comuna 8	229
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 8	1849
DIPUTADOS NACIONALES	APTITUD RENOVADORA	Comuna 8	649
DIPUTADOS NACIONALES		Comuna 8	3905
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	Comuna 7	760
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	Comuna 7	160
DIPUTADOS NACIONALES	POLÍTICA OBRERA	Comuna 7	601
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	Comuna 7	517
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	Comuna 7	361
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	Comuna 7	17613
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	Comuna 7	53696
DIPUTADOS NACIONALES	FRENTE DE TODOS	Comuna 7	32719
