Seccion	Agrupacion	Votos
Comuna 15	SOCIALISTA AUTÉNTICO	1612
Comuna 14	SOCIALISTA AUTÉNTICO	1662
Comuna 13	SOCIALISTA AUTÉNTICO	2133
Comuna 12	SOCIALISTA AUTÉNTICO	2154
Comuna 11	SOCIALISTA AUTÉNTICO	1894
Comuna 10	SOCIALISTA AUTÉNTICO	1665
Comuna 9	SOCIALISTA AUTÉNTICO	1527
Comuna 8	SOCIALISTA AUTÉNTICO	1352
Comuna 7	SOCIALISTA AUTÉNTICO	1602
Comuna 6	SOCIALISTA AUTÉNTICO	1536
Comuna 5	SOCIALISTA AUTÉNTICO	1780
Comuna 4	SOCIALISTA AUTÉNTICO	1735
Comuna 3	SOCIALISTA AUTÉNTICO	1543
Comuna 2	SOCIALISTA AUTÉNTICO	890
Comuna 1	SOCIALISTA AUTÉNTICO	1556
Comuna 15	RENOVADOR FEDERAL	142
Comuna 14	RENOVADOR FEDERAL	77
Comuna 13	RENOVADOR FEDERAL	106
Comuna 12	RENOVADOR FEDERAL	147
Comuna 11	RENOVADOR FEDERAL	136
Comuna 10	RENOVADOR FEDERAL	148
Comuna 9	RENOVADOR FEDERAL	182
Comuna 8	RENOVADOR FEDERAL	222
Comuna 7	RENOVADOR FEDERAL	160
Comuna 6	RENOVADOR FEDERAL	89
Comuna 5	RENOVADOR FEDERAL	150
Comuna 4	RENOVADOR FEDERAL	244
Comuna 3	RENOVADOR FEDERAL	153
Comuna 2	RENOVADOR FEDERAL	59
Comuna 1	RENOVADOR FEDERAL	143
Comuna 15	POLÍTICA OBRERA	1213
Comuna 14	POLÍTICA OBRERA	719
Comuna 13	POLÍTICA OBRERA	830
Comuna 12	POLÍTICA OBRERA	1097
Comuna 11	POLÍTICA OBRERA	1030
Comuna 10	POLÍTICA OBRERA	907
Comuna 9	POLÍTICA OBRERA	1121
Comuna 8	POLÍTICA OBRERA	1411
Comuna 7	POLÍTICA OBRERA	1496
Comuna 6	POLÍTICA OBRERA	785
Comuna 5	POLÍTICA OBRERA	1221
Comuna 4	POLÍTICA OBRERA	1764
